0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
7
19
29
59
97
137
182
221
299
422
499
614
758
944
"1,060"
"1,255"
"1,441"
"1,648"
"1,760"
"1,884"
"1,998"
"2,090"
"2,023"
"2,101"
"2,088"
"2,030"
"1,978"
"1,808"
"1,730"
"1,668"
"1,577"
"1,469"
"1,278"
"1,236"
"1,220"
"1,003"
930
975
880
893
789
798
769
782
850
821
831
785
883
906
867
854
947
973
906
912
867
934
933
970
"1,005"
"1,019"
"1,060"
"1,133"
"1,125"
"1,186"
"1,219"
"1,324"
"1,400"
"1,538"
"1,619"
"1,807"
"1,871"
"2,085"
"1,895"
"1,935"
"1,958"
"1,831"
"1,761"
"1,729"
"1,614"
"1,504"
"1,437"
"1,363"
"1,362"
"1,347"
"1,345"
"1,448"
"1,362"
"1,352"
"1,388"
"1,450"
"1,561"
"1,575"
"1,604"
"1,781"
"1,813"
"1,893"
"2,037"
"2,137"
"2,304"
"2,319"
"2,373"
"2,519"
"2,305"
"2,302"
"2,252"
"2,076"
"1,995"
"1,818"
"1,935"
"1,903"
"2,025"
"2,140"
"2,258"
"2,305"
"2,324"
"2,455"
"2,458"
"2,409"
"2,234"
"2,315"
"2,288"
"2,182"
"2,275"
"2,315"
"2,391"
"2,598"
"2,685"
"2,742"
"2,701"
"2,556"
"2,410"
"2,261"
"2,041"
"1,853"
"1,781"
"1,613"
"1,473"
"1,425"
"1,353"
"1,233"
"1,254"
"1,195"
"1,171"
"1,208"
"1,344"
"1,265"
"1,230"
"1,158"
"1,185"
"1,227"
"1,086"
942
904
822
784
689
610
628
644
679
635
662
739
797
828
941
905
978
919
910
843
824
867
902
834
886
909
970
976
"1,065"
"1,043"
"1,068"
956
982
955
864
697
544
491
393
381
284
230
234
195
188
125
77
74
59
51
22
19
9
7
6
8
1
0
0
1
0
0
0
2
0
1
1
0
0
0
0
0
0
0
0
0
